Datetime,Open,Heigh,Low,Close,Volume
2020/1/2,74.06,75.15,73.8,75.09,135480400
2020/1/3,74.29,75.14,74.12,74.26,146322800
2020/1/6,73.45,74.99,73.45,74.95,118387200
2020/1/7,74.96,75.22,74.37,74.6,108872000
2020/1/8,74.29,76.11,74.29,75.8,132079200
